ID,Position,Date,Status,ClubID,StudentID
1,Secretary,2024-03-02,Approved,16,622
2,Treasurer,2024-08-13,Approved,20,577
3,Event Coordinator,2024-05-31,Pending,8,500
4,President,2024-11-10,Pending,6,62
5,Treasurer,2023-12-08,Approved,15,170
6,Treasurer,2024-04-06,Pending,15,368
7,Secretary,2024-08-15,Pending,2,617
8,President,2023-12-30,Approved,6,201
9,Treasurer,2024-03-29,Approved,11,15
10,Treasurer,2024-04-09,Pending,5,847
11,President,2024-07-27,Rejected,11,561
12,Secretary,2023-12-08,Rejected,18,815
13,Secretary,2024-05-03,Rejected,6,485
14,President,2024-01-14,Approved,14,222
15,Event Coordinator,2024-05-31,Rejected,3,345
16,President,2024-10-12,Rejected,6,35
17,Treasurer,2024-03-10,Rejected,18,646
18,President,2024-02-23,Approved,4,235
19,Secretary,2024-04-06,Rejected,1,859
20,Secretary,2024-08-01,Approved,5,296
21,Treasurer,2024-09-13,Pending,2,606
22,Vice President,2024-10-02,Approved,18,650
23,Vice President,2024-10-09,Pending,1,353
24,Event Coordinator,2024-01-23,Rejected,11,554
25,President,2024-05-06,Pending,1,977
26,Secretary,2024-01-13,Approved,1,861
27,President,2023-12-08,Rejected,19,100
28,Vice President,2024-08-23,Approved,5,714
29,Vice President,2024-01-14,Pending,17,813
30,Event Coordinator,2024-09-24,Rejected,12,799
31,Event Coordinator,2024-03-28,Approved,15,362
32,Treasurer,2024-08-18,Pending,17,809
33,Vice President,2023-12-23,Rejected,6,470
34,Treasurer,2024-05-27,Rejected,12,371
35,President,2024-03-24,Approved,7,106
36,Vice President,2024-10-11,Rejected,7,811
37,Vice President,2024-08-03,Rejected,13,195
38,Event Coordinator,2023-12-19,Approved,13,349
39,Secretary,2024-01-10,Pending,2,109
40,Vice President,2024-01-28,Approved,8,45
41,Treasurer,2024-11-04,Approved,20,678
42,Secretary,2023-12-28,Approved,16,370
43,Treasurer,2024-04-08,Pending,4,671
44,Event Coordinator,2024-01-30,Approved,9,963
45,Event Coordinator,2024-08-16,Pending,13,288
46,President,2024-07-08,Pending,7,175
47,Treasurer,2024-06-03,Pending,3,932
48,President,2024-03-27,Pending,13,22
49,Vice President,2024-06-09,Approved,8,317
50,President,2024-08-24,Approved,19,505
51,Secretary,2024-10-15,Pending,16,673
52,Secretary,2024-02-21,Rejected,15,909
53,Secretary,2024-09-17,Approved,3,107
54,Secretary,2024-07-23,Pending,5,335
55,Secretary,2024-10-15,Pending,3,919
56,Treasurer,2024-05-04,Rejected,6,35
57,President,2024-05-09,Pending,18,45
58,President,2024-06-25,Pending,19,719
59,President,2024-05-23,Approved,19,729
60,Secretary,2023-12-25,Approved,13,312
61,Treasurer,2024-07-04,Approved,9,204
62,Vice President,2024-03-19,Approved,20,16
63,Secretary,2024-05-04,Rejected,12,193
64,Secretary,2024-11-12,Pending,17,718
65,Vice President,2024-05-26,Approved,9,646
66,President,2024-09-22,Rejected,8,428
67,Treasurer,2024-09-10,Approved,20,613
68,Vice President,2024-01-15,Pending,4,184
69,President,2024-10-06,Rejected,2,901
70,Event Coordinator,2024-04-19,Rejected,14,408
71,Secretary,2024-07-23,Pending,3,361
72,President,2024-01-08,Rejected,13,566
73,Vice President,2024-09-10,Approved,17,13
74,Vice President,2024-04-27,Rejected,18,463
75,President,2024-05-10,Pending,4,851
76,Vice President,2024-10-07,Rejected,15,649
77,Secretary,2023-12-10,Approved,4,263
78,President,2024-10-17,Approved,16,941
79,Treasurer,2024-11-26,Pending,16,118
80,Event Coordinator,2024-10-31,Rejected,17,353
81,Event Coordinator,2024-08-20,Pending,7,154
82,President,2023-12-11,Rejected,6,61
83,Secretary,2024-01-06,Approved,6,267
84,Secretary,2024-05-01,Rejected,12,301
85,President,2024-02-13,Approved,19,965
86,President,2024-06-14,Rejected,3,673
87,Secretary,2024-06-28,Pending,5,590
88,Treasurer,2024-09-04,Rejected,6,26
89,Vice President,2024-03-10,Rejected,9,643
90,Treasurer,2024-11-05,Rejected,13,1000
91,Treasurer,2024-05-20,Approved,1,282
92,Secretary,2024-01-25,Pending,9,809
93,President,2024-01-10,Approved,19,641
94,Event Coordinator,2024-02-29,Rejected,10,879
95,Vice President,2024-10-15,Approved,12,716
96,Vice President,2024-02-08,Approved,1,518
97,Treasurer,2024-05-10,Approved,16,288
98,President,2024-06-02,Pending,6,380
99,Event Coordinator,2024-09-15,Pending,19,886
100,Secretary,2024-03-31,Approved,5,329
101,Treasurer,2023-12-25,Pending,11,241
102,Treasurer,2024-10-31,Approved,19,708
103,Secretary,2024-06-11,Pending,15,562
104,Secretary,2024-08-01,Approved,7,421
105,Secretary,2024-03-17,Pending,13,90
106,Vice President,2024-07-22,Rejected,8,656
107,Treasurer,2024-01-16,Pending,20,457
108,Event Coordinator,2024-04-17,Approved,15,343
109,Treasurer,2024-02-04,Approved,9,126
110,Treasurer,2024-03-02,Approved,15,103
111,Vice President,2024-03-12,Pending,17,448
112,Secretary,2024-02-13,Approved,16,195
113,Vice President,2024-11-11,Pending,17,688
114,Treasurer,2024-03-30,Pending,2,25
115,Event Coordinator,2024-06-26,Pending,15,510
116,Secretary,2024-06-20,Rejected,12,940
117,Event Coordinator,2024-08-12,Rejected,16,511
118,President,2023-12-30,Pending,3,705
119,Vice President,2024-07-30,Approved,2,8
120,Treasurer,2024-08-07,Approved,2,503
121,Event Coordinator,2024-09-02,Rejected,17,121
122,Event Coordinator,2023-12-28,Rejected,8,59
123,Secretary,2024-07-10,Pending,7,844
124,Treasurer,2024-06-13,Rejected,8,777
125,President,2024-10-14,Rejected,4,441
126,Treasurer,2024-06-20,Rejected,6,256
127,Secretary,2024-06-16,Pending,18,974
128,Treasurer,2024-11-15,Pending,10,898
129,Treasurer,2024-03-14,Rejected,18,571
130,Event Coordinator,2024-06-08,Rejected,20,767
131,Secretary,2024-01-19,Approved,1,548
132,President,2024-11-09,Pending,16,58
133,Event Coordinator,2024-03-06,Pending,16,318
134,Treasurer,2024-11-10,Pending,6,928
135,Vice President,2024-06-02,Pending,13,148
136,Treasurer,2023-12-28,Approved,11,306
137,Event Coordinator,2024-11-14,Approved,19,303
138,President,2024-08-13,Rejected,12,676
139,Vice President,2024-06-11,Rejected,2,86
140,Vice President,2023-12-16,Rejected,4,916
141,Vice President,2024-08-10,Pending,8,664
142,Treasurer,2024-07-06,Rejected,8,259
143,Vice President,2024-02-20,Rejected,7,17
144,President,2024-01-24,Pending,11,734
145,Event Coordinator,2024-05-27,Approved,11,537
146,Event Coordinator,2024-06-27,Pending,6,80
147,President,2024-02-18,Pending,19,660
148,President,2024-01-26,Rejected,16,536
149,Secretary,2024-09-17,Rejected,16,133
150,Secretary,2024-06-16,Approved,19,693
151,Event Coordinator,2024-10-09,Rejected,6,190
152,Secretary,2024-02-18,Rejected,18,876
153,Secretary,2024-01-25,Pending,19,528
154,Vice President,2024-02-03,Pending,1,413
155,Treasurer,2024-05-26,Approved,13,535
156,President,2024-01-27,Pending,18,479
157,Event Coordinator,2024-07-24,Rejected,16,533
158,President,2023-12-29,Approved,17,840
159,Event Coordinator,2024-01-19,Approved,20,358
160,President,2024-11-06,Approved,6,988
161,Event Coordinator,2024-05-20,Pending,20,361
162,Event Coordinator,2024-10-17,Approved,8,303
163,President,2024-01-18,Approved,1,705
164,President,2024-07-26,Approved,18,52
165,Secretary,2024-03-06,Pending,6,468
166,Secretary,2024-03-09,Rejected,7,48
167,Vice President,2023-11-30,Rejected,6,350
168,Vice President,2024-09-09,Rejected,7,287
169,Treasurer,2024-09-13,Pending,18,987
170,President,2024-02-10,Pending,13,227
171,Event Coordinator,2024-06-12,Rejected,10,235
172,President,2024-02-20,Approved,4,549
173,President,2024-04-11,Rejected,10,731
174,Secretary,2024-04-07,Pending,4,406
175,President,2024-10-14,Rejected,12,533
176,Vice President,2024-10-20,Approved,6,130
177,President,2024-08-13,Rejected,2,804
178,President,2024-03-04,Pending,7,610
179,Event Coordinator,2024-05-07,Pending,3,518
180,Vice President,2024-05-12,Pending,2,333
181,Secretary,2024-08-09,Approved,2,147
182,Vice President,2024-06-20,Rejected,2,146
183,Secretary,2024-05-14,Pending,15,525
184,President,2024-03-13,Rejected,19,896
185,Event Coordinator,2024-02-28,Pending,11,994
186,Event Coordinator,2024-11-16,Approved,8,27
187,Treasurer,2024-03-19,Rejected,2,301
188,Secretary,2024-04-30,Pending,8,201
189,Event Coordinator,2023-12-13,Approved,11,166
190,Treasurer,2024-08-08,Rejected,1,848
191,Treasurer,2024-06-24,Approved,20,877
192,Vice President,2024-11-24,Pending,14,494
193,Treasurer,2024-02-22,Pending,11,380
194,Treasurer,2024-09-19,Rejected,19,1000
195,Secretary,2023-12-06,Rejected,15,116
196,Secretary,2024-03-18,Pending,15,73
197,Vice President,2024-06-29,Approved,4,699
198,Event Coordinator,2024-03-19,Pending,14,275
199,Secretary,2024-04-20,Rejected,1,796
200,President,2024-08-02,Approved,20,539
201,Treasurer,2024-10-06,Rejected,2,961
202,Vice President,2024-07-08,Approved,2,322
203,President,2024-04-27,Approved,13,159
204,Vice President,2024-06-06,Approved,9,658
205,President,2024-11-21,Rejected,11,575
206,Secretary,2024-05-29,Rejected,18,187
207,Secretary,2024-06-13,Approved,6,854
208,Event Coordinator,2024-06-07,Rejected,5,280
209,Treasurer,2024-07-29,Approved,15,306
210,President,2024-06-05,Pending,18,187
211,President,2024-07-11,Approved,9,895
212,Event Coordinator,2024-07-16,Rejected,13,272
213,Vice President,2024-06-17,Pending,12,387
214,Treasurer,2024-10-28,Rejected,5,753
215,Secretary,2024-07-23,Approved,15,776
216,President,2024-08-25,Approved,12,903
217,Event Coordinator,2024-11-14,Approved,19,584
218,Vice President,2024-08-29,Pending,13,974
219,Treasurer,2024-05-28,Pending,13,144
220,Event Coordinator,2024-10-05,Rejected,10,841
221,President,2024-08-26,Pending,8,707
222,Event Coordinator,2024-04-23,Approved,6,796
223,Event Coordinator,2024-07-04,Rejected,18,73
224,President,2024-08-03,Approved,12,60
225,President,2024-04-23,Pending,1,332
226,Treasurer,2024-01-08,Rejected,5,704
227,Secretary,2024-03-26,Pending,19,409
228,Vice President,2024-07-22,Pending,17,934
229,Event Coordinator,2023-12-08,Pending,9,652
230,Secretary,2024-08-01,Pending,3,459
231,Vice President,2024-05-20,Approved,19,890
232,Secretary,2024-06-30,Pending,6,267
233,Secretary,2024-09-11,Rejected,5,261
234,President,2024-03-30,Rejected,17,736
235,Event Coordinator,2024-02-25,Pending,18,113
236,Event Coordinator,2024-08-12,Pending,2,701
237,President,2024-11-11,Rejected,9,590
238,President,2024-05-06,Pending,5,281
239,Vice President,2024-09-30,Rejected,7,545
240,Secretary,2024-09-16,Rejected,5,832
241,President,2024-09-05,Pending,13,817
242,Vice President,2024-09-16,Pending,19,156
243,President,2024-06-25,Pending,9,649
244,Event Coordinator,2024-11-21,Pending,15,14
245,Event Coordinator,2024-10-16,Rejected,4,979
246,Secretary,2024-10-20,Pending,11,281
247,Secretary,2024-03-06,Pending,3,618
248,Secretary,2024-04-18,Rejected,9,317
249,Vice President,2024-04-01,Rejected,14,387
250,Treasurer,2024-06-10,Pending,1,85
251,President,2024-05-31,Approved,13,228
252,Event Coordinator,2024-06-07,Approved,14,229
253,Treasurer,2024-09-08,Pending,3,52
254,Vice President,2024-01-21,Approved,3,342
255,Secretary,2024-09-10,Rejected,9,221
256,President,2024-05-30,Pending,15,657
257,Event Coordinator,2024-07-06,Pending,9,172
258,Treasurer,2024-08-29,Pending,4,583
259,President,2024-04-10,Approved,8,492
260,Treasurer,2024-04-20,Rejected,15,52
261,Secretary,2024-05-13,Approved,18,866
262,President,2024-03-29,Rejected,2,837
263,Treasurer,2024-04-20,Rejected,20,281
264,Treasurer,2024-08-31,Approved,18,153
265,Treasurer,2023-12-01,Approved,14,282
266,Vice President,2024-02-06,Rejected,4,694
267,Event Coordinator,2024-04-05,Approved,8,254
268,Treasurer,2024-07-16,Rejected,8,798
269,Treasurer,2024-10-06,Rejected,8,157
270,Secretary,2023-12-29,Approved,19,189
271,President,2023-12-06,Approved,5,750
272,Vice President,2024-11-20,Approved,5,439
273,Event Coordinator,2024-11-11,Approved,6,93
274,President,2023-12-27,Rejected,14,250
275,Event Coordinator,2024-09-10,Pending,20,461
276,Secretary,2024-05-28,Approved,8,402
277,Vice President,2024-03-07,Approved,11,700
278,Treasurer,2024-05-01,Pending,1,940
279,Event Coordinator,2024-10-01,Rejected,2,255
280,Secretary,2024-06-29,Pending,8,845
281,Treasurer,2023-12-04,Approved,16,37
282,Vice President,2023-12-19,Approved,14,996
283,Treasurer,2023-12-31,Approved,9,188
284,Secretary,2024-03-25,Approved,4,571
285,Treasurer,2024-02-18,Approved,16,697
286,Vice President,2024-02-10,Approved,18,294
287,President,2024-08-17,Pending,13,934
288,Treasurer,2024-06-29,Approved,14,265
289,Treasurer,2024-03-01,Approved,5,310
290,Vice President,2024-01-09,Rejected,17,831
291,Secretary,2024-09-15,Pending,3,198
292,Vice President,2024-09-28,Rejected,4,851
293,President,2024-01-26,Approved,13,869
294,Event Coordinator,2024-10-20,Pending,6,801
295,Event Coordinator,2024-05-31,Rejected,1,490
296,Treasurer,2024-06-27,Rejected,3,821
297,President,2024-03-28,Approved,12,360
298,Event Coordinator,2024-03-22,Rejected,17,847
299,Event Coordinator,2023-12-24,Rejected,1,452
300,President,2023-12-17,Approved,12,874
301,Treasurer,2024-05-28,Pending,12,852
302,Secretary,2024-09-30,Rejected,3,932
303,Treasurer,2024-09-28,Approved,6,317
304,Treasurer,2024-06-03,Approved,20,823
305,President,2024-02-02,Rejected,13,874
306,Event Coordinator,2024-09-11,Approved,11,458
307,Treasurer,2024-01-13,Approved,14,51
308,Vice President,2024-07-25,Approved,17,426
309,President,2024-05-03,Pending,3,920
310,Secretary,2024-05-16,Approved,12,410
311,President,2024-06-05,Pending,5,118
312,Treasurer,2024-01-01,Rejected,5,33
313,President,2024-08-31,Rejected,3,867
314,President,2024-07-07,Pending,1,415
315,President,2024-04-24,Rejected,3,535
316,Event Coordinator,2024-08-25,Rejected,4,368
317,Secretary,2024-03-03,Pending,17,235
318,Secretary,2024-03-11,Approved,14,560
319,President,2024-07-08,Approved,14,55
320,Secretary,2024-02-25,Approved,3,693
321,President,2024-11-23,Pending,6,300
322,Vice President,2023-12-25,Pending,14,46
323,Secretary,2024-06-23,Pending,13,493
324,President,2023-12-25,Rejected,19,444
325,Event Coordinator,2023-12-04,Rejected,13,318
326,President,2024-11-02,Approved,7,218
327,Event Coordinator,2024-09-29,Rejected,14,969
328,President,2024-07-06,Approved,7,905
329,President,2024-04-14,Rejected,20,751
330,Event Coordinator,2024-05-15,Rejected,12,286
331,President,2024-06-16,Pending,12,92
332,Vice President,2024-01-03,Approved,5,100
333,Vice President,2024-08-04,Pending,1,481
334,Event Coordinator,2024-03-26,Approved,14,404
335,Treasurer,2024-07-30,Approved,2,914
336,President,2024-07-02,Rejected,2,87
337,President,2024-05-25,Pending,3,403
338,Secretary,2024-10-15,Approved,13,381
339,Event Coordinator,2024-07-04,Rejected,11,241
340,President,2024-11-16,Pending,4,497
341,Treasurer,2024-07-06,Approved,13,323
342,Treasurer,2024-08-04,Pending,6,18
343,Treasurer,2024-11-26,Rejected,16,981
344,Event Coordinator,2024-01-07,Pending,2,2
345,Vice President,2024-07-22,Pending,12,36
346,Event Coordinator,2023-12-10,Approved,2,71
347,Treasurer,2024-07-08,Rejected,17,917
348,Event Coordinator,2024-01-18,Pending,13,43
349,Secretary,2024-11-28,Rejected,11,654
350,President,2023-12-25,Approved,3,164
351,President,2024-09-01,Approved,11,603
352,Event Coordinator,2023-12-10,Pending,2,774
353,Treasurer,2024-09-13,Pending,19,82
354,Vice President,2023-12-23,Rejected,10,152
355,Treasurer,2024-04-01,Pending,19,429
356,Vice President,2024-06-21,Pending,4,698
357,Secretary,2024-09-20,Rejected,1,216
358,Event Coordinator,2024-01-07,Rejected,18,393
359,Event Coordinator,2024-05-01,Pending,18,763
360,Secretary,2024-08-10,Rejected,12,189
361,Vice President,2024-04-15,Pending,7,649
362,Event Coordinator,2024-03-22,Pending,20,565
363,Event Coordinator,2024-06-02,Pending,6,452
364,Vice President,2024-05-15,Rejected,17,658
365,Event Coordinator,2024-11-02,Rejected,5,486
366,Vice President,2024-07-17,Rejected,13,338
367,Event Coordinator,2024-03-29,Rejected,17,913
368,President,2024-07-30,Rejected,1,116
369,Vice President,2024-09-10,Rejected,9,942
370,Treasurer,2024-11-18,Pending,13,660
371,Event Coordinator,2024-09-16,Approved,14,132
372,Secretary,2024-05-01,Rejected,17,522
373,Event Coordinator,2023-12-31,Rejected,14,521
374,Vice President,2023-12-22,Approved,15,498
375,Treasurer,2024-10-27,Approved,20,419
376,Event Coordinator,2024-07-20,Approved,20,339
377,Vice President,2024-08-28,Rejected,7,629
378,Secretary,2024-06-21,Approved,15,965
379,Event Coordinator,2024-02-29,Rejected,13,952
380,Secretary,2024-07-14,Pending,16,628
381,Secretary,2024-08-03,Approved,4,644
382,Secretary,2024-11-29,Approved,19,122
383,Treasurer,2024-08-10,Rejected,20,972
384,Secretary,2024-04-16,Pending,12,696
385,President,2024-09-07,Approved,4,149
386,President,2024-07-27,Pending,13,607
387,Treasurer,2024-05-28,Pending,10,605
388,Event Coordinator,2024-02-08,Pending,15,186
389,Vice President,2024-07-17,Approved,5,209
390,Vice President,2024-06-22,Rejected,18,867
391,Event Coordinator,2023-12-11,Rejected,4,291
392,Treasurer,2024-03-05,Approved,17,995
393,Treasurer,2024-08-03,Approved,7,82
394,Vice President,2024-07-01,Approved,3,643
395,Vice President,2024-02-21,Pending,2,522
396,Secretary,2024-06-26,Rejected,13,308
397,Vice President,2023-12-31,Rejected,2,252
398,Treasurer,2024-03-07,Pending,15,550
399,Event Coordinator,2024-02-03,Approved,2,376
400,Event Coordinator,2024-08-29,Approved,1,693
401,Vice President,2024-04-13,Rejected,1,355
402,Event Coordinator,2024-04-08,Pending,6,465
403,Secretary,2024-04-21,Pending,15,550
404,Vice President,2024-11-03,Pending,19,383
405,Secretary,2024-03-11,Pending,20,67
406,President,2024-09-19,Approved,7,436
407,Event Coordinator,2023-12-29,Approved,16,473
408,President,2024-07-23,Rejected,20,839
409,President,2024-02-12,Approved,18,195
410,Event Coordinator,2024-02-26,Approved,10,987
411,President,2024-09-22,Approved,13,885
412,Event Coordinator,2024-10-05,Pending,2,868
413,Treasurer,2024-04-21,Approved,6,969
414,Secretary,2024-05-21,Rejected,5,582
415,Secretary,2024-09-13,Approved,12,716
416,Treasurer,2024-05-15,Rejected,18,845
417,Secretary,2024-05-10,Rejected,2,958
418,Treasurer,2024-02-02,Rejected,7,572
419,Treasurer,2024-03-06,Pending,12,676
420,Treasurer,2024-11-19,Pending,19,638
421,President,2024-01-11,Rejected,4,311
422,President,2024-03-20,Approved,20,480
423,Vice President,2024-11-20,Approved,4,951
424,Treasurer,2024-10-21,Approved,17,697
425,Vice President,2024-07-23,Pending,5,970
426,Vice President,2024-05-24,Approved,8,43
427,Treasurer,2024-07-19,Rejected,13,434
428,Secretary,2024-11-15,Approved,2,679
429,Secretary,2024-04-28,Rejected,11,842
430,Vice President,2024-09-30,Rejected,2,228
431,Event Coordinator,2023-12-23,Approved,5,836
432,Event Coordinator,2024-06-06,Pending,6,725
433,Event Coordinator,2024-04-16,Pending,5,159
434,Event Coordinator,2024-02-19,Rejected,8,62
435,Vice President,2024-05-19,Pending,12,662
436,Event Coordinator,2024-09-28,Approved,13,58
437,Event Coordinator,2024-11-18,Pending,6,63
438,Event Coordinator,2024-06-28,Rejected,8,469
439,Event Coordinator,2024-04-05,Pending,18,562
440,Secretary,2023-12-22,Rejected,11,75
441,Secretary,2024-08-25,Approved,9,108
442,Secretary,2024-05-18,Rejected,4,219
443,President,2024-01-14,Rejected,16,578
444,President,2024-05-27,Rejected,19,139
445,Secretary,2024-04-18,Approved,8,62
446,Treasurer,2024-05-04,Approved,11,491
447,President,2024-07-29,Approved,15,745
448,Vice President,2024-04-13,Approved,1,708
449,Treasurer,2024-08-16,Pending,18,567
450,Vice President,2024-10-10,Pending,9,293
451,Treasurer,2024-03-25,Pending,20,881
452,Secretary,2024-04-09,Pending,14,939
453,Treasurer,2024-11-26,Rejected,14,610
454,Secretary,2024-03-20,Rejected,18,697
455,Secretary,2024-02-26,Approved,18,124
456,Vice President,2024-01-29,Approved,6,37
457,Vice President,2024-06-15,Approved,7,764
458,Treasurer,2024-10-12,Rejected,12,718
459,Secretary,2024-01-28,Rejected,6,535
460,Treasurer,2024-07-06,Approved,7,715
461,President,2024-02-11,Approved,13,293
462,Vice President,2024-02-23,Rejected,7,28
463,Event Coordinator,2024-03-12,Approved,10,479
464,President,2024-06-12,Pending,4,95
465,Secretary,2024-10-29,Pending,12,626
466,Treasurer,2024-08-08,Approved,15,692
467,Event Coordinator,2024-05-06,Pending,1,225
468,Event Coordinator,2024-04-07,Pending,1,481
469,Vice President,2024-03-15,Approved,17,766
470,Event Coordinator,2024-11-19,Rejected,20,265
471,Secretary,2024-03-24,Pending,4,469
472,Secretary,2024-02-04,Rejected,14,424
473,Secretary,2024-04-30,Pending,10,377
474,President,2024-07-19,Approved,17,260
475,Vice President,2024-09-29,Pending,13,482
476,Vice President,2023-12-23,Pending,6,739
477,Treasurer,2024-06-25,Approved,2,269
478,Treasurer,2024-07-26,Approved,5,104
479,Secretary,2024-05-16,Rejected,6,318
480,Event Coordinator,2023-12-19,Rejected,3,15
481,Vice President,2024-04-29,Rejected,2,928
482,Secretary,2024-02-26,Pending,17,992
483,Secretary,2024-04-11,Pending,14,325
484,Vice President,2024-07-19,Approved,10,840
485,Vice President,2024-07-11,Rejected,11,448
486,Vice President,2024-06-24,Pending,16,564
487,President,2024-03-17,Rejected,16,612
488,Event Coordinator,2024-09-08,Approved,15,824
489,Secretary,2024-05-07,Approved,10,97
490,Vice President,2024-08-25,Pending,11,899
491,Event Coordinator,2024-04-17,Pending,18,786
492,President,2024-03-06,Rejected,8,123
493,Secretary,2024-11-09,Approved,7,143
494,Vice President,2024-10-06,Approved,17,265
495,Event Coordinator,2023-12-24,Pending,13,404
496,President,2024-10-13,Pending,6,946
497,Secretary,2024-05-02,Approved,9,350
498,President,2024-06-11,Rejected,2,79
499,Secretary,2024-06-14,Pending,14,812
500,President,2024-06-15,Rejected,17,75
